Condition	TrueConvexity	RandomConvexity	MaxConvexity	Corrected
i	0.276736	0.132007	0.503056	0.390054
i	0.305498	0.131864	0.480729	0.497711
i	0.270409	0.131912	0.497685	0.378641
i	0.283755	0.088516	0.336954	0.785864
i	0.454667	0.166834	0.548556	0.754038
i	0.417708	0.166834	0.560625	0.637075
i	0.146817	0.045170	0.230035	0.549845
i	0.399226	0.166560	0.571107	0.575128
i	0.228511	0.074107	0.300656	0.681548
i	0.375967	0.131764	0.462062	0.739343
i	0.433056	0.166534	0.529444	0.734401
i	0.411482	0.166653	0.556196	0.628503
i	0.354606	0.131974	0.497014	0.609885
i	0.360190	0.107118	0.410785	0.833386
i	0.478958	0.218877	0.687083	0.555484
i	0.583160	0.218600	0.646701	0.851573
i	0.464278	0.166758	0.596403	0.692479
i	0.341283	0.132077	0.489726	0.584949
i	0.417245	0.132041	0.517593	0.739731
i	0.500671	0.218762	0.620417	0.701870
c	0.305972	0.088493	0.397153	0.704592
c	0.281049	0.074059	0.338225	0.783561
c	0.067057	0.023452	0.129123	0.412652
c	0.138294	0.032757	0.172917	0.752974
c	0.571836	0.218909	0.626902	0.865031
c	0.568368	0.218883	0.664253	0.784706
c	0.308085	0.107110	0.393502	0.701750
c	0.136717	0.053081	0.233687	0.463088
c	0.036111	0.045082	0.227951	-0.049054
c	0.182042	0.062487	0.263292	0.595377
c	0.337996	0.107210	0.427877	0.719706
c	0.239831	0.088628	0.352267	0.573525
c	0.201590	0.073897	0.337670	0.484100
c	0.402229	0.132037	0.475708	0.786194
c	0.041667	0.027801	0.148565	0.114814
c	0.130972	0.052976	0.251730	0.392427
c	0.418294	0.107156	0.440714	0.932784
c	0.290191	0.088485	0.355425	0.755622
c	0.017130	0.016177	0.093827	0.012268
c	0.106296	0.027782	0.150556	0.639505
