Condition	Generation	AdjustedRandIndex
t	1	-0.006149
t	2	0.197324
t	3	0.065116
t	4	0.769362
t	5	0.424217
t	1	-0.020408
t	2	0.156088
t	3	0.284254
t	4	0.302224
t	5	0.786767
t	1	-0.015228
t	2	-0.017294
t	3	0.357143
t	4	0.014915
t	5	0.460432
t	1	-0.023392
t	2	0.114286
t	3	0.112426
t	4	0.237183
t	5	0.685809
t	1	0.083620
t	2	-0.027110
t	3	0.171030
t	4	0.361088
t	5	0.396083
t	1	0.169742
t	2	-0.029056
t	3	0.021053
t	4	0.263804
t	5	0.670532
t	1	0.276860
t	2	0.326347
t	3	0.281806
t	4	0.456821
t	5	0.696890
t	1	-0.016260
t	2	0.078091
t	3	0.363636
t	4	0.175676
t	5	0.181118
c	1	0.252336
c	2	0.491109
c	3	0.941425
c	4	0.866578
c	5	0.864798
c	1	0.408983
c	2	0.579664
c	3	0.212536
c	4	0.444609
c	5	0.747581
c	1	0.040558
c	2	0.157641
c	3	0.644550
c	4	0.152760
c	5	0.586580
c	1	0.102564
c	2	0.311594
c	3	0.154435
c	4	0.153186
c	5	0.469004
c	1	0.124204
c	2	0.237408
c	3	0.527373
c	4	0.364269
c	5	0.303445
c	1	0.200000
c	2	0.735862
c	3	0.656357
c	4	0.428571
c	5	0.367267
c	1	0.411135
c	2	0.257663
c	3	0.130435
c	4	0.283333
c	5	0.554494
c	1	0.176030
c	2	0.208716
c	3	0.178587
c	4	0.556947
c	5	0.380442
