Condition	Generation	TrueConvexity	RandomConvexity	MaxConvexity	Corrected
t	1	0.009549	0.001754	0.011111	0.833012
t	1	0.050245	0.019682	0.108456	0.344283
t	2	0.063317	0.019549	0.112418	0.471286
t	2	0.171131	0.053039	0.223404	0.693172
t	3	0.074343	0.053085	0.251730	0.107016
t	3	0.238472	0.088532	0.319583	0.648948
t	4	0.349769	0.132004	0.374884	0.896592
t	4	0.358647	0.131866	0.426046	0.770892
t	5	0.264641	0.131864	0.309201	0.748726
t	5	0.287531	0.132107	0.426667	0.527649
t	1	0.033114	0.013249	0.077193	0.310665
t	1	0.017105	0.013176	0.077193	0.061376
t	2	0.129543	0.045179	0.179890	0.626258
t	2	0.048843	0.016130	0.092554	0.428041
t	3	0.088088	0.038441	0.199840	0.307603
t	3	0.203472	0.062456	0.305278	0.580740
t	4	0.200139	0.062568	0.304028	0.569746
t	4	0.280895	0.074009	0.336173	0.789148
t	5	0.307022	0.074032	0.348071	0.850206
t	5	0.308133	0.074117	0.338225	0.886060
t	1	0.014461	0.019572	0.111111	-0.055831
t	1	0.009091	0.005687	0.036364	0.110962
t	2	0.014773	0.005693	0.036364	0.296048
t	2	0.077759	0.027676	0.138815	0.450635
t	3	0.133452	0.032713	0.159792	0.792732
t	3	0.159433	0.045164	0.227951	0.625147
t	4	0.078144	0.052964	0.195701	0.176408
t	4	0.194015	0.052936	0.249457	0.717882
t	5	0.220530	0.053123	0.250152	0.849660
t	5	0.218194	0.062507	0.278403	0.721124
t	1	0.053216	0.013105	0.079532	0.603840
t	1	0.038158	0.013185	0.077193	0.390151
t	2	0.039722	0.027818	0.149074	0.098177
t	2	0.071581	0.038502	0.179167	0.235166
t	3	0.076181	0.045093	0.217211	0.180616
t	3	0.251515	0.107150	0.364926	0.560041
t	4	0.244971	0.132047	0.451820	0.353136
t	4	0.362083	0.131803	0.396343	0.870495
t	5	0.370764	0.132076	0.396343	0.903209
t	5	0.352045	0.131960	0.422342	0.757916
t	1	0.036574	0.016208	0.095062	0.258273
t	1	0.060049	0.019618	0.111111	0.441902
t	2	0.025000	0.027802	0.150556	-0.022828
t	2	0.110038	0.053063	0.212405	0.357561
t	3	0.147662	0.045133	0.217211	0.595830
t	3	0.117014	0.045185	0.207639	0.442148
t	4	0.138947	0.045045	0.229398	0.509358
t	4	0.185000	0.062543	0.280139	0.562773
t	5	0.159062	0.062449	0.252118	0.509379
t	5	0.203935	0.074126	0.350000	0.470539
t	1	0.062114	0.016184	0.093827	0.591556
t	1	0.020455	0.005683	0.036364	0.481462
t	2	0.043133	0.016137	0.095062	0.342046
t	2	0.024383	0.016171	0.093827	0.105747
t	3	0.000000	0.016243	0.093827	-0.209360
t	3	0.106736	0.045041	0.214722	0.363594
t	4	0.228472	0.088576	0.398351	0.451607
t	4	0.355162	0.131955	0.515556	0.581873
t	5	0.343125	0.131974	0.525764	0.536202
t	5	0.355440	0.131887	0.498264	0.610172
t	1	0.038889	0.016222	0.093827	0.292077
t	1	0.093704	0.027760	0.149074	0.543578
t	2	0.117315	0.027742	0.149074	0.738246
t	2	0.122867	0.032752	0.172371	0.645434
t	3	0.089263	0.038519	0.199840	0.314551
t	3	0.289991	0.088661	0.336519	0.812281
t	4	0.362847	0.132052	0.480729	0.661916
t	4	0.308651	0.107078	0.406716	0.672720
t	5	0.442050	0.131904	0.498737	0.845470
t	5	0.362315	0.131774	0.525764	0.585144
t	1	0.012292	0.010463	0.064444	0.033871
t	1	0.000000	0.007949	0.050794	-0.185542
t	2	0.064844	0.023487	0.127734	0.396720
t	2	0.037500	0.013160	0.078363	0.373299
t	3	0.076953	0.023443	0.126302	0.520226
t	3	0.098661	0.032753	0.171280	0.475777
t	4	0.129903	0.062423	0.216931	0.436741
t	4	0.148302	0.074068	0.324074	0.296932
t	5	0.279649	0.107181	0.407214	0.574828
t	5	0.133565	0.045172	0.225868	0.489178
c	1	0.134921	0.032734	0.172371	0.731802
c	1	0.240486	0.062441	0.280903	0.814994
c	2	0.212942	0.053170	0.261174	0.768119
c	2	0.212639	0.062503	0.254340	0.782621
c	3	0.342229	0.107218	0.404960	0.789309
c	3	0.242413	0.074073	0.282485	0.807726
c	4	0.351567	0.107157	0.387361	0.872259
c	4	0.308825	0.088663	0.336372	0.888796
c	5	0.292535	0.088608	0.354470	0.767038
c	5	0.308825	0.088572	0.336372	0.888836
c	1	0.131517	0.038498	0.199840	0.576534
c	1	0.136165	0.038366	0.199840	0.605661
c	2	0.249151	0.074089	0.348071	0.638956
c	2	0.192298	0.053002	0.241288	0.739811
c	3	0.188472	0.062558	0.279167	0.581297
c	3	0.069792	0.032764	0.172371	0.265229
c	4	0.239292	0.062463	0.290153	0.776621
c	4	0.152778	0.053000	0.262753	0.475693
c	5	0.358594	0.088537	0.385503	0.909385
c	5	0.358569	0.088566	0.370945	0.956172
c	1	0.149972	0.062552	0.290653	0.383253
c	1	0.082073	0.038522	0.188002	0.291345
c	2	0.183854	0.062463	0.251354	0.642652
c	2	0.337934	0.088592	0.385503	0.839786
c	3	0.358569	0.088376	0.370548	0.957547
c	3	0.269769	0.074096	0.336898	0.744562
c	4	0.376134	0.131959	0.512708	0.641302
c	4	0.230981	0.107080	0.410785	0.407964
c	5	0.314831	0.106970	0.424901	0.653795
c	5	0.409623	0.107098	0.456349	0.866210
c	1	0.057292	0.023386	0.128212	0.323451
c	1	0.022708	0.010423	0.064444	0.227410
c	2	0.098760	0.032676	0.170784	0.478494
c	2	0.078255	0.023446	0.130512	0.511921
c	3	0.134003	0.045127	0.193097	0.600636
c	3	0.198025	0.073996	0.297848	0.554065
c	4	0.055000	0.027817	0.150556	0.221471
c	4	0.281399	0.107249	0.393502	0.608377
c	5	0.317560	0.107193	0.410785	0.692925
c	5	0.304600	0.107158	0.423126	0.624880
c	1	0.198785	0.088564	0.351111	0.419813
c	1	0.107861	0.062477	0.276028	0.212523
c	2	0.155926	0.074022	0.323349	0.328501
