Condition	Generation	Learnability
t	2	0.259868
t	2	0.089866
t	2	0.058380
t	2	-0.026570
t	2	-0.010101
t	2	0.084435
t	2	0.086758
t	2	0.033333
t	2	-0.036758
t	2	0.217352
t	2	-0.015228
t	2	-0.014760
t	2	0.565972
t	2	0.251497
t	2	-0.020408
t	2	-0.017263
t	3	0.129032
t	3	0.474053
t	3	0.169075
t	3	0.428400
t	3	0.395393
t	3	0.337812
t	3	0.133333
t	3	0.179592
t	3	0.248927
t	3	0.512308
t	3	0.229452
t	3	0.147368
t	3	0.376559
t	3	0.369454
t	3	0.154930
t	3	0.194373
t	4	0.661379
t	4	0.648346
t	4	0.422899
t	4	0.507284
t	4	0.081633
t	4	0.623824
t	4	0.423004
t	4	0.438903
t	4	0.331181
t	4	0.237417
t	4	0.180000
t	4	0.205405
t	4	0.552852
t	4	0.762421
t	4	0.275862
t	4	0.304348
t	5	0.746179
t	5	0.612915
t	5	0.699760
t	5	0.803072
t	5	0.607330
t	5	0.825671
t	5	0.780145
t	5	0.877815
t	5	0.464286
t	5	0.616882
t	5	0.739631
t	5	0.922998
t	5	0.594196
t	5	0.530067
t	5	0.269006
t	5	0.123932
c	2	0.579832
c	2	0.665605
c	2	0.530957
c	2	0.449234
c	2	0.094945
c	2	0.131050
c	2	0.068627
c	2	0.176955
c	2	0.172662
c	2	0.470803
c	2	0.844341
c	2	0.701810
c	2	0.134103
c	2	0.143469
c	2	0.065934
c	2	0.060606
c	3	0.837986
c	3	0.895570
c	3	0.527373
c	3	0.227318
c	3	0.873790
c	3	0.693600
c	3	0.070056
c	3	0.169368
c	3	0.592643
c	3	0.465853
c	3	0.854419
c	3	0.574015
c	3	-0.011236
c	3	0.234234
c	3	0.093199
c	3	0.224520
c	4	0.864753
c	4	0.976002
c	4	0.235214
c	4	0.370668
c	4	0.421365
c	4	0.202590
c	4	0.177293
c	4	0.156226
c	4	0.439129
c	4	0.539632
c	4	0.395208
c	4	0.462687
c	4	0.465409
c	4	0.180000
c	4	0.344282
c	4	0.389235
c	5	0.864798
c	5	1.000000
c	5	0.478630
c	5	0.510633
c	5	0.313590
c	5	0.281834
c	5	0.904069
c	5	0.422982
c	5	0.380442
c	5	0.276974
c	5	0.681818
c	5	0.568465
c	5	0.370492
c	5	0.678571
c	5	0.282760
c	5	0.437645
