Generation	SimSuccessRaw	SimSuccessCorr
1	243.000000	11.853659
1	259.750000	13.671053
1	247.500000	12.692308
1	248.750000	13.092105
1	228.000000	13.028571
1	247.000000	12.350000
1	229.500000	13.909091
1	257.750000	12.573171
2	272.750000	19.482143
2	257.750000	17.183333
2	252.000000	13.621622
2	274.500000	19.607143
2	268.000000	20.615385
2	238.750000	13.263889
2	329.000000	22.689655
2	269.250000	15.385714
3	293.750000	30.921053
3	285.250000	24.804348
3	271.500000	20.884615
3	276.000000	29.052632
3	269.500000	22.458333
3	261.500000	17.433333
3	292.750000	27.880952
3	264.000000	17.600000
4	326.000000	54.333333
4	305.000000	32.105263
4	292.500000	26.590909
4	306.750000	51.125000
4	328.500000	29.863636
4	273.750000	39.107143
4	334.000000	51.384615
4	288.750000	30.394737
5	307.000000	51.166667
5	339.500000	37.722222
5	343.000000	32.666667
5	335.000000	55.833333
5	315.000000	33.157895
5	331.500000	55.250000
5	339.500000	56.583333
5	275.750000	29.026316
