Condition	Generation	Specificity
t	1	24
t	1	17
t	2	17
t	2	11
t	3	11
t	3	8
t	4	6
t	4	6
t	5	6
t	5	6
t	1	19
t	1	19
t	2	12
t	2	18
t	3	13
t	3	10
t	4	10
t	4	9
t	5	9
t	5	9
t	1	17
t	1	22
t	2	22
t	2	15
t	3	14
t	3	12
t	4	11
t	4	11
t	5	11
t	5	10
t	1	19
t	1	19
t	2	15
t	2	13
t	3	12
t	3	7
t	4	6
t	4	6
t	5	6
t	5	6
t	1	18
t	1	17
t	2	15
t	2	11
t	3	12
t	3	12
t	4	12
t	4	10
t	5	10
t	5	9
t	1	18
t	1	22
t	2	18
t	2	18
t	3	18
t	3	12
t	4	8
t	4	6
t	5	6
t	5	6
t	1	18
t	1	15
t	2	15
t	2	14
t	3	13
t	3	8
t	4	6
t	4	7
t	5	6
t	5	6
t	1	20
t	1	21
t	2	16
t	2	19
t	3	16
t	3	14
t	4	10
t	4	9
t	5	7
t	5	12
c	1	14
c	1	10
c	2	11
c	2	10
c	3	7
c	3	9
c	4	7
c	4	8
c	5	8
c	5	8
c	1	13
c	1	13
c	2	9
c	2	11
c	3	10
c	3	14
c	4	10
c	4	11
c	5	8
c	5	8
c	1	10
c	1	13
c	2	10
c	2	8
c	3	8
c	3	9
c	4	6
c	4	7
c	5	7
c	5	7
c	1	16
c	1	20
c	2	14
c	2	16
c	3	12
c	3	9
c	4	15
c	4	7
c	5	7
c	5	7
c	1	8
c	1	10
c	2	9
c	2	9
c	3	9
c	3	9
c	4	9
c	4	9
c	5	7
c	5	7
c	1	9
c	1	7
c	2	6
c	2	6
c	3	6
c	3	6
c	4	5
c	4	5
c	5	5
c	5	5
c	1	14
c	1	13
c	2	9
c	2	14
c	3	13
c	3	10
c	4	9
c	4	12
c	5	10
c	5	10
c	1	15
c	1	15
c	2	8
c	2	13
c	3	8
c	3	8
c	4	9
c	4	9
c	5	8
c	5	8
