Generation	Round	Score
1	1	270
1	1	289
1	1	295
1	1	322
1	1	227
1	1	269
1	1	273
1	1	272
1	2	256
1	2	279
1	2	268
1	2	324
1	2	240
1	2	293
1	2	291
1	2	268
1	3	300
1	3	310
1	3	289
1	3	324
1	3	271
1	3	271
1	3	312
1	3	269
1	4	302
1	4	331
1	4	291
1	4	341
1	4	272
1	4	292
1	4	334
1	4	253
2	1	333
2	1	298
2	1	304
2	1	295
2	1	292
2	1	275
2	1	305
2	1	271
2	2	343
2	2	295
2	2	268
2	2	319
2	2	286
2	2	283
2	2	310
2	2	312
2	3	337
2	3	312
2	3	322
2	3	335
2	3	287
2	3	318
2	3	280
2	3	306
2	4	332
2	4	317
2	4	301
2	4	286
2	4	292
2	4	321
2	4	308
2	4	285
3	1	321
3	1	311
3	1	328
3	1	252
3	1	313
3	1	297
3	1	285
3	1	274
3	2	318
3	2	292
3	2	346
3	2	297
3	2	307
3	2	337
3	2	285
3	2	301
3	3	308
3	3	296
3	3	326
3	3	263
3	3	322
3	3	323
3	3	294
3	3	312
3	4	335
3	4	307
3	4	341
3	4	279
3	4	313
3	4	336
3	4	253
3	4	289
4	1	336
4	1	321
4	1	307
4	1	317
4	1	322
4	1	297
4	1	317
4	1	316
4	2	323
4	2	303
4	2	308
4	2	275
4	2	324
4	2	280
4	2	322
4	2	304
4	3	334
4	3	301
4	3	306
4	3	276
4	3	334
4	3	291
4	3	320
4	3	304
4	4	345
4	4	322
4	4	316
4	4	301
4	4	339
4	4	323
4	4	325
4	4	319
5	1	330
5	1	334
5	1	294
5	1	315
5	1	301
5	1	312
5	1	318
5	1	315
5	2	325
5	2	347
5	2	317
5	2	315
5	2	293
5	2	310
5	2	318
5	2	319
5	3	339
5	3	351
5	3	323
5	3	318
5	3	294
5	3	315
5	3	309
5	3	323
5	4	334
5	4	347
5	4	336
5	4	312
5	4	321
5	4	320
5	4	333
5	4	313
