Generation	SuccessRaw	SuccessCorr
1	301.000000	25.083333
1	320.500000	24.653846
1	290.000000	25.217391
1	332.500000	18.472222
1	271.500000	30.166667
1	281.500000	35.187500
1	323.000000	23.925926
1	261.000000	17.400000
2	334.500000	31.857143
2	314.500000	31.450000
2	311.500000	34.611111
2	310.500000	20.700000
2	289.500000	32.166667
2	319.500000	53.250000
2	294.000000	25.565217
2	295.500000	28.142857
3	321.500000	40.187500
3	301.500000	25.125000
3	333.500000	39.235294
3	271.000000	25.809524
3	317.500000	35.277778
3	329.500000	54.916667
3	273.500000	23.782609
3	300.500000	37.562500
4	339.500000	45.266667
4	311.500000	29.666667
4	311.000000	47.846154
4	288.500000	26.227273
4	336.500000	37.388889
4	307.000000	61.400000
4	322.500000	30.714286
4	311.500000	34.611111
5	336.500000	42.062500
5	349.000000	43.625000
5	329.500000	47.071429
5	315.000000	45.000000
5	307.500000	43.928571
5	317.500000	63.500000
5	321.000000	32.100000
5	318.000000	39.750000
