Condition	NumCats	Score
t	25	3
t	25	10
t	17	17
t	17	19
t	11	23
t	11	19
t	8	41
t	8	49
t	6	58
t	6	51
t	25	14
t	25	6
t	19	10
t	19	7
t	18	28
t	18	19
t	10	46
t	10	17
t	9	53
t	9	43
t	25	5
t	25	14
t	22	17
t	22	6
t	15	15
t	15	30
t	12	14
t	12	40
t	11	56
t	11	47
t	25	10
t	25	16
t	19	12
t	19	5
t	13	18
t	13	23
t	7	44
t	7	53
t	6	57
t	6	56
t	25	9
t	25	16
t	17	10
t	17	20
t	11	18
t	11	24
t	12	37
t	12	26
t	10	52
t	10	35
t	25	7
t	25	24
t	22	3
t	22	3
t	18	6
t	18	15
t	12	33
t	12	20
t	6	65
t	6	63
t	25	10
t	25	13
t	15	36
t	15	37
t	14	19
t	14	24
t	8	38
t	8	55
t	7	44
t	7	57
t	25	14
t	25	11
t	21	11
t	21	10
t	19	8
t	19	13
t	14	23
t	14	20
t	9	28
t	9	18
c	25	10
c	25	9
c	10	42
c	10	32
c	10	56
c	10	46
c	9	53
c	9	51
c	8	64
c	8	63
c	25	7
c	25	14
c	13	20
c	13	28
c	11	31
c	11	37
c	14	16
c	14	32
c	11	45
c	11	42
c	25	8
c	25	6
c	13	30
c	13	21
c	8	43
c	8	56
c	9	28
c	9	26
c	7	25
c	7	43
c	25	18
c	25	28
c	20	24
c	20	24
c	16	13
c	16	14
c	9	40
c	9	29
c	7	59
c	7	38
c	25	3
c	25	10
c	10	26
c	10	28
c	9	54
c	9	34
c	9	41
c	9	39
c	9	28
c	9	28
c	25	18
c	25	5
c	7	40
c	7	50
c	6	62
c	6	72
c	6	25
c	6	55
c	5	66
c	5	64
c	25	14
c	25	3
c	13	13
c	13	15
c	14	11
c	14	22
c	10	43
c	10	13
c	12	40
c	12	41
c	25	8
c	25	3
c	15	7
c	15	16
c	13	11
c	13	20
c	8	51
c	8	39
c	9	32
c	9	26
